Task,Description,Code Llama-34b,GPT-3.5,GPT-4,StarCoder2-3b,StarCoder2-7b,StarCoder2-7b-FT,Llama-4-Maverick-17b
HumanEval/132,Check if a given string contains a valid subsequence of square brackets where at least one bracket is nested.,0%,0%,0%,0%,0%,0%,0%
HumanEval/133,The function should calculate the sum of the squared numbers in a given list after rounding each element to the nearest upper integer.,0%,0%,100%,0%,0%,10%,50%
HumanEval/134,Check if the last character of a given string is an alphabetical character and is not part of a word.,0%,90%,0%,0%,10%,30%,70%
HumanEval/135,Return the largest index of an element that is not greater than or equal to the element immediately preceding it or -1 if no such element exists.,0%,80%,100%,0%,20%,50%,90%
HumanEval/136,Return a tuple containing the largest negative integer and the smallest positive integer from a given list or None if there are no negative or positive integers.,100%,100%,100%,20%,60%,90%,100%
HumanEval/137,Return the larger variable in its given variable type or None if the values are equal.,0%,0%,90%,0%,0%,0%,30%
HumanEval/138,Evaluate whether the given number n can be written as the sum of exactly 4 positive even numbers.,100%,100%,90%,0%,40%,70%,100%
HumanEval/139,Calculate the special factorial of a given integer.,0%,80%,100%,0%,20%,50%,90%
HumanEval/140,Replace spaces in a given string with underscores and if there are more than 2 consecutive spaces replace them with a hyphen.,0%,70%,50%,0%,20%,40%,80%
HumanEval/141,Validate whether a given file name meets certain criteria.,0%,100%,90%,0%,20%,50%,90%
HumanEval/142,Calculate the sum of squared and cubed entries in a list based on their index.,100%,0%,100%,0%,30%,60%,100%
HumanEval/143,Return a string containing the words from the original sentence whose lengths are prime numbers in the same order as the original sentence.,100%,100%,100%,0%,40%,80%,100%
HumanEval/144,The function should determine whether the product of two fractions is a whole number or not.,90%,100%,100%,0%,30%,70%,100%
HumanEval/145,Sort the given list of integers in ascending order based on the sum of their digits with ties broken by the index in the original list.,0%,0%,0%,0%,0%,0%,0%
HumanEval/146,Count the number of elements in the input array that are greater than 10 and have both the first and last digits as odd numbers.,0%,100%,100%,0%,30%,60%,100%
HumanEval/147,Calculate the number of triples in an array where the sum of the elements is a multiple of 3.,0%,90%,0%,0%,10%,30%,70%
HumanEval/148,Return a tuple of planets whose orbits are located between the orbit of planet1 and the orbit of planet2 sorted by proximity to the sun.,0%,100%,80%,0%,20%,50%,90%
HumanEval/149,Delete strings with odd lengths from a list of strings and return the remaining strings in ascending order of length with alphabetical sorting for strings of the same length.,0%,100%,100%,0%,30%,60%,100%
HumanEval/150,Return the value of x if n is a prime number and return the value of y otherwise.,100%,100%,100%,10%,70%,90%,100%
HumanEval/151,Calculate the sum of squares of the odd numbers in the given list ignoring negative numbers and non-integers.,50%,100%,90%,0%,30%,60%,90%
HumanEval/152,The function should compare the guesses of a person with the actual scores of a number of matches and return an array indicating how far off each guess was.,100%,100%,100%,30%,90%,100%,100%
HumanEval/153,Return the strongest extension for a given class name and list of extensions.,10%,70%,50%,0%,10%,30%,60%
HumanEval/154,Check if the second word or any of its rotations is a substring in the first word.,0%,100%,100%,0%,30%,60%,100%
HumanEval/155,Return a tuple containing the count of even and odd digits in the given integer.,0%,0%,0%,0%,0%,0%,10%
HumanEval/156,Convert a positive integer to its lowercase Roman numeral equivalent.,40%,100%,100%,0%,20%,50%,90%
HumanEval/157,Check if the given lengths of the three sides of a triangle form a right-angled triangle.,0%,100%,100%,0%,50%,80%,100%
HumanEval/158,Return the word with the maximum number of unique characters from a list of strings.,40%,100%,100%,0%,30%,60%,100%
HumanEval/159,The function should calculate the total number of carrots eaten and the number of carrots remaining after a rabbit has eaten a certain number of carrots and still needs to eat more.,0%,50%,100%,0%,0%,20%,60%
HumanEval/160,Evaluate an algebraic expression using the given operators and operands.,0%,100%,50%,0%,20%,40%,80%
HumanEval/161,Reverse the case of letters in a string and if the string contains no letters reverse the string.,0%,100%,100%,0%,30%,60%,100%
HumanEval/162,Convert a given string into its MD5 hash equivalent.,100%,100%,100%,0%,50%,90%,100%
HumanEval/163,Generate a list of even digits between two given positive integers in ascending order.,0%,0%,80%,0%,0%,10%,40%
